Transaction_id,Card_id,Subtotal,Tax,Total,Address_id,Time,Date,IsFraud
000001,99750865120001,0.0,0.0,0.0,684,19:40:44,2024-11-05,
000002,99750865120001,0.0,0.0,0.0,1051,19:46:06,2024-06-23,
000003,99750865120001,0.0,0.0,0.0,7691,10:02:44,2024-07-16,
000004,99750865120002,0.0,0.0,0.0,6064,05:25:08,2024-02-21,
000005,99750865120002,0.0,0.0,0.0,9707,13:10:39,2024-01-17,
000006,99750865120002,0.0,0.0,0.0,2391,17:30:17,2024-02-10,
000007,99750865120002,0.0,0.0,0.0,4398,20:43:59,2024-11-06,
000008,99750865120002,0.0,0.0,0.0,5060,18:58:33,2024-10-20,
000009,99750865120002,0.0,0.0,0.0,6015,16:46:21,2024-07-16,
000010,99750865120002,0.0,0.0,0.0,4235,06:23:08,2024-03-11,
000011,99750865120003,0.0,0.0,0.0,9410,11:33:02,2024-10-13,
000012,99750865120003,0.0,0.0,0.0,5060,08:05:02,2024-03-01,
000013,99750865120003,0.0,0.0,0.0,5551,21:25:41,2024-09-11,
000014,99728100670001,0.0,0.0,0.0,2822,13:18:29,2024-09-30,
000015,99728100670002,0.0,0.0,0.0,6155,06:42:50,2024-08-10,
000016,99728100670002,0.0,0.0,0.0,1688,17:04:32,2024-06-14,
000017,99728100670002,0.0,0.0,0.0,4409,20:08:55,2024-04-13,
000018,99728100670002,0.0,0.0,0.0,7691,20:48:42,2024-11-08,
000019,99728100670002,0.0,0.0,0.0,6613,04:18:54,2024-09-22,
000020,99728100670002,0.0,0.0,0.0,9513,22:56:51,2024-08-10,
000021,99728100670002,0.0,0.0,0.0,104,12:52:12,2023-11-30,
000022,99728100670003,0.0,0.0,0.0,4235,23:23:49,2024-01-07,
000023,99728100670003,0.0,0.0,0.0,6155,02:08:53,2024-08-26,
000024,99728100670003,0.0,0.0,0.0,3657,23:37:54,2024-04-15,
000025,99728100670003,0.0,0.0,0.0,3290,08:11:18,2024-07-27,
000026,99728100670003,0.0,0.0,0.0,9689,15:20:40,2024-09-28,
000027,99728100670003,0.0,0.0,0.0,9513,00:12:22,2024-09-24,
000028,99722151920001,0.0,0.0,0.0,6547,07:48:32,2024-09-05,
000029,99722151920001,0.0,0.0,0.0,6027,01:19:07,2024-01-11,
000030,99722151920001,0.0,0.0,0.0,1576,03:43:46,2024-06-05,
000031,99722151920001,0.0,0.0,0.0,7461,10:05:59,2024-10-07,
000032,99722151920002,0.0,0.0,0.0,9707,12:45:12,2024-09-19,
000033,99722151920003,0.0,0.0,0.0,1777,23:07:29,2024-05-08,
000034,99722151920003,0.0,0.0,0.0,1044,12:24:07,2024-07-29,
000035,99722151920003,0.0,0.0,0.0,3145,04:39:12,2024-10-31,
000036,99722151920004,0.0,0.0,0.0,1542,20:04:59,2024-10-04,
000037,99722151920004,0.0,0.0,0.0,684,07:53:51,2024-05-31,
000038,99722151920004,0.0,0.0,0.0,9689,08:46:29,2024-02-06,
000039,99722151920004,0.0,0.0,0.0,2891,09:55:25,2024-02-04,
000040,99722151920004,0.0,0.0,0.0,1929,09:31:12,2024-03-26,
000041,99722151920004,0.0,0.0,0.0,4893,18:33:13,2024-01-05,
000042,99722151920004,0.0,0.0,0.0,1689,00:00:26,2023-12-31,
000043,99722151920004,0.0,0.0,0.0,2891,20:16:46,2024-08-19,
000044,99722151920004,0.0,0.0,0.0,3637,11:47:57,2023-11-27,
000045,99722151920005,0.0,0.0,0.0,2219,20:17:04,2024-02-29,
000046,99722151920005,0.0,0.0,0.0,3551,00:20:50,2023-12-04,
000047,99722151920005,0.0,0.0,0.0,2219,08:47:11,2024-03-05,
000048,99722151920005,0.0,0.0,0.0,5366,02:39:53,2024-02-07,
000049,99722151920006,0.0,0.0,0.0,7106,08:43:25,2024-11-02,
000050,99722151920006,0.0,0.0,0.0,2708,18:28:14,2024-01-29,
