Card_id,FleetCompany_id,Expiry_date,Balance_spent,card_number
99750865120001,9975086512,2026-08-30,3379.0616,1
99750865120002,9975086512,2028-10-10,14263.8996,2
99750865120003,9975086512,2025-07-02,5691.222400000001,3
99728100670001,9972810067,2028-10-25,2574.14,1
99728100670002,9972810067,2028-07-28,17367.3768,2
99728100670003,9972810067,2027-06-06,16970.3626,3
99722151920001,9972215192,2025-04-18,9202.019400000001,1
99722151920002,9972215192,2025-10-20,2130.615,2
99722151920003,9972215192,2027-07-17,6099.3445,3
99722151920004,9972215192,2025-09-29,13655.021700000001,4
99722151920005,9972215192,2026-12-15,9549.6413,5
99722151920006,9972215192,2026-05-11,18829.562899999997,6
99722151920007,9972215192,2026-04-01,18797.0302,7
99722151920008,9972215192,2026-12-24,17702.478300000002,8
99722151920009,9972215192,2024-12-02,5585.025,9
99722151920010,9972215192,2025-10-07,3241.4954000000002,10
99729699630001,9972969963,2026-04-18,3885.7536,1
99729699630002,9972969963,2025-05-05,9241.919699999999,2
99729699630003,9972969963,2027-09-02,3946.2651,3
99729699630004,9972969963,2024-11-19,4877.7354,4
99729699630005,9972969963,2028-05-22,2965.12,5
99729699630006,9972969963,2027-05-04,9362.7393,6
99729699630007,9972969963,2026-12-18,2172.199,7
99790429860001,9979042986,2027-08-01,11147.9133,1
99790429860002,9979042986,2027-09-19,5492.93,2
99735236090001,9973523609,2027-07-23,7384.7420999999995,1
99735236090002,9973523609,2026-01-15,9185.204999999998,2
99735236090003,9973523609,2028-01-12,19970.3205,3
99784087830001,9978408783,2025-09-22,15553.32,1
99784087830002,9978408783,2028-09-25,25124.8833,2
99784087830003,9978408783,2028-04-22,9300.8153,3
99784087830004,9978408783,2026-03-09,4274.225,4
99784087830005,9978408783,2027-05-20,12219.4697,5
99733444680001,9973344468,2024-12-12,12918.725,1
99733444680002,9973344468,2028-08-26,21804.8529,2
99733444680003,9973344468,2025-07-29,998.3776,3
99733444680004,9973344468,2026-11-22,11779.3912,4
99733444680005,9973344468,2025-10-20,4115.0532,5
99733444680006,9973344468,2027-02-01,16884.3018,6
99733444680007,9973344468,2025-07-12,17289.497199999998,7
99733444680008,9973344468,2026-11-18,14798.8529,8
99780039010001,9978003901,2028-11-12,10723.5079,1
99745573690001,9974557369,2026-07-13,13417.8573,1
99759187500001,9975918750,2028-04-16,1278.03,1
99759187500002,9975918750,2026-11-09,9553.6189,2
99759187500003,9975918750,2025-07-22,4726.0781,3
99794847590001,9979484759,2028-06-29,11449.6572,1
99794847590002,9979484759,2026-01-20,4629.610000000001,2
99794847590003,9979484759,2024-12-20,7220.1689,3
99794847590004,9979484759,2025-03-02,7822.5267,4
99771265820001,9977126582,2027-07-13,1202.9979999999998,1
99771265820002,9977126582,2027-01-10,21208.890900000002,2
99739607950001,9973960795,2028-06-20,19234.747,1
99739607950002,9973960795,2026-12-14,10920.32,2
99739607950003,9973960795,2025-01-11,19478.047300000002,3
99739607950004,9973960795,2028-10-11,8652.3422,4
99739607950005,9973960795,2025-06-20,4294.5989,5
99739607950006,9973960795,2028-02-22,18437.1252,6
99739607950007,9973960795,2028-09-01,2050.95,7
99739607950008,9973960795,2025-12-16,6962.495000000001,8
99739607950009,9973960795,2025-03-26,1557.14,9
99739607950010,9973960795,2026-05-17,15983.0364,10
99722679730001,9972267973,2028-09-21,16462.9813,1
99722679730002,9972267973,2024-12-04,13104.61,2
99722679730003,9972267973,2026-03-15,7322.5581999999995,3
99795649860001,9979564986,2027-11-08,12193.265,1
99795649860002,9979564986,2026-03-07,13904.1641,2
99795649860003,9979564986,2027-11-05,18579.9346,3
99795649860004,9979564986,2027-08-03,14693.4352,4
99795649860005,9979564986,2025-01-18,14761.212599999999,5
99751555650001,9975155565,2025-10-04,15674.569000000001,1
99751555650002,9975155565,2026-03-25,2091.63,2
99751555650003,9975155565,2026-01-09,21370.0967,3
99751555650004,9975155565,2026-06-10,7788.4346,4
99751555650005,9975155565,2025-01-29,11396.027399999999,5
99751555650006,9975155565,2027-06-12,2850.4476,6
99751555650007,9975155565,2028-02-26,1846.5443,7
99751555650008,9975155565,2028-01-22,5889.2888,8
99751555650009,9975155565,2025-11-10,20669.7114,9
99740489040001,9974048904,2027-02-23,27990.3034,1
99740489040002,9974048904,2027-08-03,21127.180600000003,2
99740489040003,9974048904,2027-09-15,10701.1,3
99740489040004,9974048904,2027-11-09,1806.87,4
99740489040005,9974048904,2025-09-06,15132.078599999999,5
99740489040006,9974048904,2027-12-08,17499.3947,6
99782224770001,9978222477,2025-06-14,10608.6208,1
99782224770002,9978222477,2026-10-18,2849.86,2
99782224770003,9978222477,2028-02-26,19049.0541,3
99782224770004,9978222477,2028-03-27,6114.4752,4
99782224770005,9978222477,2025-06-02,17240.8507,5
99782224770006,9978222477,2028-05-31,8707.779999999999,6
99782224770007,9978222477,2025-03-16,11557.8886,7
99782224770008,9978222477,2026-05-04,18837.563299999998,8
99782224770009,9978222477,2026-09-20,14245.8309,9
99740792760001,9974079276,2028-07-23,23000.370300000002,1
99740792760002,9974079276,2027-12-11,10618.8021,2
99740792760003,9974079276,2027-04-10,4921.941000000001,3
99740792760004,9974079276,2028-03-02,17920.8734,4
99740792760005,9974079276,2028-09-12,13801.492299999998,5
99740792760006,9974079276,2028-09-04,22772.144200000002,6
99740792760007,9974079276,2025-01-11,21759.4947,7
99740792760008,9974079276,2027-01-19,19490.24,8
